topic,ROS type,source PC,source node,destination PC,destination node,QoS,expected rate,measured rate,bridge direction,required/optional,official owner,duplicate publisher count,notes
/map/vector_map,autoware_map_msgs/msg/LaneletMapBin,PC3,/map/lanelet2_map_loader,PC1,multiple planning nodes,reliable transient_local depth=1,latched one-shot,actual sample received,vehicle DDS,required,PC3,1,runtime verified in simultaneous PC1+PC2+PC3 window
/map/pointcloud_map,sensor_msgs/msg/PointCloud2,PC3,/map/pointcloud_map_loader,PC1,planning map consumers,reliable transient_local depth=1,latched one-shot,actual sample received,vehicle DDS,optional conditional,PC3,1,runtime verified in simultaneous PC1+PC2+PC3 window
/localization/kinematic_state,nav_msgs/msg/Odometry,PC3,TBD_PC3_RUNTIME,PC1,planning and control,reliable volatile depth=1,TBD_RUNTIME,0 publishers,vehicle DDS,required,PC3,0,blocking actual run_autoware goal and trajectory readiness
/localization/acceleration,geometry_msgs/msg/AccelWithCovarianceStamped,PC3,TBD_PC3_RUNTIME,PC1,planning and control,reliable volatile depth=1,TBD_RUNTIME,0 publishers,vehicle DDS,required,PC3,0,blocking actual run_autoware control readiness
/tf,tf2_msgs/msg/TFMessage,PC3,TBD_PC3_RUNTIME,PC1,TF listeners,TBD_RUNTIME,TBD_RUNTIME,map to base_link not connected,vehicle DDS,required,PC3 per transform,TBD_RUNTIME,blocking
/tf_static,tf2_msgs/msg/TFMessage,PC3,TBD_PC3_RUNTIME,PC1,TF listeners,TBD_RUNTIME,latched event,TBD_RUNTIME,vehicle DDS,required,PC3 per transform,TBD_RUNTIME,no duplicate static broadcaster
/perception/object_recognition/objects,autoware_perception_msgs/msg/PredictedObjects,PC2 xor PC4,/perception/object_recognition/prediction/map_based_prediction,PC1,multiple planning nodes,reliable volatile depth=1,TBD_RUNTIME,9.09 Hz,vehicle DDS in observed real-PC2 mode,required,PC2 xor PC4,1,frame map and zero objects in observed messages; PC4 absent
/perception/obstacle_segmentation/pointcloud,sensor_msgs/msg/PointCloud2,PC2 or PC3,TBD_RUNTIME,PC1,behavior and motion planners,best_effort volatile depth=1,TBD_RUNTIME,TBD_RUNTIME,vehicle DDS,required by current default modules,TBD_RUNTIME,TBD_RUNTIME,ownership and publisher QoS unresolved
/perception/occupancy_grid_map/map,nav_msgs/msg/OccupancyGrid,PC2,TBD_RUNTIME,PC1,behavior and motion planners,reliable volatile depth=1,TBD_RUNTIME,TBD_RUNTIME,vehicle DDS,required by enabled modules,PC2,TBD_RUNTIME,live requirement must be confirmed
/perception/traffic_light_recognition/traffic_signals,autoware_perception_msgs/msg/TrafficLightGroupArray,PC2 or PC4,TBD_RUNTIME,PC1,behavior and motion planners,reliable volatile depth=1,TBD_RUNTIME,TBD_RUNTIME,TBD,required when traffic-light module enabled,TBD_BY_MODE,TBD_RUNTIME,current default enables traffic-light module
