"asset","function","evidence_status","current_evidence","current_runtime_owner","configured_or_historical_driver","recommended_single_owner","exclusive_endpoint_or_resource","expected_io","duplicate_risk","blocker_or_next_gate","permission_or_scope_limit"
"Hesai LiDAR link","Raw LiDAR ingress","VERIFIED","enp0s31f6 is UP at 192.168.2.150/24, 100 Mb/s full duplex; 192.168.2.101 neighbor REACHABLE; 15,089,560 RX bytes and 12,168 RX packets in 2 seconds (60.358 Mb/s); hardware-disabled cycles had no UDP 2368/9347 listener","No LiDAR driver in the five hardware-disabled exact-alias cycles","Autoware sensor-kit and separate Hesai SDK both target 192.168.2.101; intended live Nebula setting retains launch_hw=true","PC3 only; exactly one LiDAR driver path","192.168.2.101 -> PC3 enp0s31f6; configured UDP/2368 and PTC/9347","Configured frame hesai_top; Nebula remaps pandar_points to pointcloud_raw_ex; SDK config publishes /lidar_points, /lidar_packets, /lidar_packets_loss","HIGH: Nebula and manual Hesai SDK can contend for the same sensor/stream","Hardware-disabled lifecycle passed; live launch_hw=true packet/pointcloud verification and single-driver selection remain unaccepted","Packet capture was denied; counter traffic is verified but live packet source/protocol and driver output remain INFERRED/UNVERIFIED"
"Hesai sensor identity","Model and live stream identity","INFERRED","Current launch says Pandar64 with sensor IP .101, host .150 and UDP/2368; SDK config independently matches .101/2368; intended live configuration retains launch_hw=true","None in hardware-disabled validation","Nebula HesaiRosWrapper configured for Pandar64, or hesai_ros_driver_node","PC3, after model/firmware verification","192.168.2.101","Dual return configured in Nebula; source_type 1 configured in SDK","HIGH if both drivers start; MEDIUM if old vehicle settings are reused without validation","Verify model, firmware, return mode, PTP, source/destination ports and calibration in a separately authorized live run","No active sensor query was performed; five clean cycles do not accept live Hesai"
"NovAtel GNSS serial hardware","GNSS/INS receiver connection","VERIFIED","USB 09d7:0100 serial BMHR21430182H; by-id port1 resolves to ttyUSB1; root:dialout 0660; active launch now configures the exact by-id path at 115200","No OEM7 process or ttyUSB1 holder in hardware-disabled validation","Restored and built novatel_oem7_driver; stable by-id path configured","PC3 only","/dev/serial/by-id/usb-NovAtel_Inc._NovAtel_GPS_Receiver_BMHR21430182H-if00-port1","Configured/historical 115200; /sensing/gnss/novatel/oem7/fix","HIGH if another program opens the port or a numbered tty path is reintroduced","Add user a to dialout; approve a controlled receiver-configuration window before hardware-enabled runtime","Five clean hardware-disabled cycles did not open serial; live NovAtel baud, firmware, receiver configuration and output remain UNVERIFIED/unaccepted"
"NovAtel OEM7 GNSS driver","GNSS fix, velocity, INS and diagnostic publication","VERIFIED","Pre-restore absence is superseded: source was restored byte-for-byte from /home/a/ros2_ws_original.zip and targeted colcon builds of novatel_oem7_msgs and novatel_oem7_driver succeeded","None in hardware-disabled validation","Built novatel_oem7_driver; 339 historical logs used ttyUSB1:115200","PC3 only","Stable NovAtel by-id port1","Expected namespace /sensing/gnss/novatel/oem7; key output fix","HIGH if launched as a probe because initialization sends UNLOGALL and a new LOG set","Runtime remains gated by dialout and explicit approval of receiver log mutation; never use driver startup as a passive test","Build and five clean hardware-disabled cycles prove software/lifecycle availability, not receiver access or live output"
"NovAtel-derived IMU","Raw IMU source for localization","INFERRED","Historical latest-good OEM7 log reported Epson G320N IMU type 41 at 125 Hz; current imu.launch.xml consumes /sensing/gnss/novatel/oem7/imu/data_raw","None in hardware-disabled validation","Built novatel_oem7_driver feeding Autoware IMU corrector/bias estimator when explicitly enabled","PC3 via the same single OEM7 process","Same NovAtel by-id port1; no second serial owner","/sensing/gnss/novatel/oem7/imu/data_raw -> /sensing/imu/imu_data","HIGH if a second IMU/GNSS driver publishes competing data or frame IDs","Reverify attached IMU identity, rate, frame, covariance, timestamp source and stationary bias during an authorized run","Current attached IMU identity/data are UNVERIFIED because hardware runtime remained disabled"
"GNSS orientation input","Orientation consumed by gnss_poser","UNVERIFIED","gnss.launch.xml consumes absolute /autoware_orientation with use_gnss_ins_orientation=true; no publisher was found in audited PC3 source","None visible","Unresolved","Assign exactly one validated PC3 publisher or change the localization design explicitly","/autoware_orientation","GnssInsOrientationStamped input to gnss_poser","HIGH: missing input blocks intended orientation path; duplicate publishers make source ambiguous","Identify message publisher, frame, timestamp and covariance semantics before localization bring-up","Source search cannot prove publishers supplied by an external package/PC"
"u-blox GNSS","Possible backup/alternate GNSS","VERIFIED","USB 1546:01a9; stable by-id symlink resolves to ttyACM0; root:dialout 0660","No visible u-blox process","u-blox path exists as a selectable sensor-kit alternative; current default is NovAtel","UNASSIGNED until primary/backup policy is approved; if used, PC3","/dev/serial/by-id/usb-u-blox_AG_-_www.u-blox.com_u-blox_GNSS_receiver-if00","Configured alternative fix topic ublox_gps_node/nav_sat_fix","HIGH if started unintentionally beside NovAtel without arbitration","Decide whether backup, test-only or removed from launch; add dialout access only if authorized","Fix/antenna/protocol state and intended role are UNVERIFIED"
"Camera","Traffic-light/general camera acquisition","VERIFIED","No Video4Linux class, no identified USB/PCI camera, and no camera process visible on PC3","None","Historical source places a Lucid driver on PC2","Do not assign to PC3 without positive hardware discovery; audit PC2 separately","No PC3 camera endpoint identified","None verified","HIGH if PC2 and PC3 both launch the same network camera; LOW on PC3 while disabled","Keep PC3 camera driver disabled; identify serial/IP and physical connection first","Absence of local enumeration does not exclude an Ethernet/GigE camera; physical camera absence is UNVERIFIED"
"CAN / vehicle actuation interface","Vehicle state/command transport","VERIFIED","No CAN netdev, no identified USB/PCI CAN adapter and no CAN process visible","None","PC3 historical vehicle component may contain read/write paths","UNASSIGNED pending safety audit; no physical write owner during stationary test","No CAN endpoint identified","None verified","CRITICAL if any PC launches an unproven write path","Keep physical command path disconnected/disabled; identify adapter, interface, read/write direction and owner","Disconnected, powered-off or proprietary CAN hardware and vehicle wiring are UNVERIFIED"
"NVIDIA RTX 3070","GPU acceleration","VERIFIED","PCI GPU present; nvidia-smi fails; no NVIDIA module; driver 570 packages are dpkg iU/unconfigured","No working kernel driver","NVIDIA 570 package set","PC3 OS/platform owner","PCI 0000:06:00.0","CUDA/TensorRT unavailable until repaired","MEDIUM: CPU fallback or component failure may be mistaken for sensor failure","Complete package repair and kernel module validation, then require nvidia-smi before GPU workloads","No package repair was authorized or attempted"
"Chrony","PC3 time synchronization and vehicle-LAN NTP service","VERIFIED","chrony active/enabled; 8 public sources online; synchronized stratum 3; UDP 0.0.0.0:123 listening; Nebula SIGABRT was resolved as a non-time thread-lifecycle defect","PC3 system chronyd","/etc/chrony/chrony.conf public pools plus allow/bind/local stratum 10","PC3 if retained as the approved four-PC time authority","UDP/123; PC3 192.168.9.7","NTP to intended 192.168.9.0/24 clients","HIGH if another PC acts as an independent authority or clients use mixed sources","Verify PC1/PC2/PC4 select PC3 and remain stable through a live run; hardware-disabled clean cycles are not time acceptance","Client list, firewall rules and all cross-PC offsets/source selections remain UNVERIFIED/unaccepted"
"USB foot switch","Unknown operator input","VERIFIED","USB 0c45:7403 Microdia Foot Switch enumerated","Unknown","None found in this audit","UNASSIGNED until operator confirms purpose","USB device 0c45:7403","None verified","UNKNOWN","Document intended function and safety behavior before integration","Operational behavior was not exercised"
"Sensor container shutdown lifecycle","Orderly shutdown of PC3 sensing container","VERIFIED","Deterministic SIGABRT cause was a Nebula decoder thread left joinable; fixed and rebuilt; five valid hardware-disabled exact-alias cycles (19-56-09, 20-00-04, 20-00-16, 20-00-58, 20-01-09) shut down cleanly with no orphans","PC3 Autoware sensing container in hardware-disabled validation","Rebuilt Nebula sensing container; intended live configuration retains launch_hw=true","PC3; one staged container only","Shared sensing component container","Shutdown/lifecycle behavior","Device duplication remains a separate risk; shutdown-thread defect is resolved","Hardware-disabled exact-alias lifecycle gate accepted; next accept live Hesai, live NovAtel and cross-PC time independently","Logs under /home/a/.ros/log/2026-08-10-*; result does not accept any live hardware or cross-PC time gate"
