topic,ROS type,direction,logical peer,source or destination node,QoS,expected rate,measured rate,required,stationary status,notes
/map/vector_map,autoware_map_msgs/msg/LaneletMapBin,input,PC3,multiple planning nodes,reliable transient_local depth=1,latched one-shot,actual sample from publisher 1,required,allowed,runtime verified in simultaneous PC1+PC2+PC3 window
/localization/kinematic_state,nav_msgs/msg/Odometry,input,PC3,planning and control,reliable volatile depth=1,TBD_RUNTIME,0 publishers,required,blocked,PC3 missing input blocked goal and planning readiness
/localization/acceleration,geometry_msgs/msg/AccelWithCovarianceStamped,input,PC3,planning and control,reliable volatile depth=1,TBD_RUNTIME,0 publishers,required,blocked,PC3 missing input blocked control readiness
/tf,tf2_msgs/msg/TFMessage,input,PC3,TF listeners,TBD_RUNTIME,TBD_RUNTIME,map to base_link not connected,required,blocked,fresh transform required
/perception/object_recognition/objects,autoware_perception_msgs/msg/PredictedObjects,input,PC2 xor PC4,multiple planning nodes,reliable volatile depth=1,TBD_RUNTIME,9.09 Hz from one PC2 map_based_prediction publisher,required,allowed,frame map with zero objects; PC4 absent
/perception/obstacle_segmentation/pointcloud,sensor_msgs/msg/PointCloud2,input,PC2 or PC3,planning modules,best_effort volatile depth=1,TBD_RUNTIME,TBD_RUNTIME,conditional,allowed,ownership unresolved
/perception/occupancy_grid_map/map,nav_msgs/msg/OccupancyGrid,input,PC2,planning modules,reliable volatile depth=1,TBD_RUNTIME,TBD_RUNTIME,conditional,allowed,enabled modules may require it
/perception/traffic_light_recognition/traffic_signals,autoware_perception_msgs/msg/TrafficLightGroupArray,input,PC2 or PC4,planning modules,reliable volatile depth=1,TBD_RUNTIME,TBD_RUNTIME,conditional,allowed,official mode owner unresolved
/planning/mission_planning/route,autoware_planning_msgs/msg/LaneletRoute,internal output,PC1,planning nodes,reliable transient_local depth=1,event or latched,TBD_RUNTIME,conditional,allowed,route must be set without engage
/planning/scenario_planning/trajectory,autoware_planning_msgs/msg/Trajectory,output,PC1 or PC4 logger,/planning/planning_validator,reliable volatile depth=1,TBD_RUNTIME,0 samples in 8 seconds with publisher count 1,required,blocked,actual run_autoware; PC3 localization and TF absent
/system/operation_mode/state,autoware_adapi_v1_msgs/msg/OperationModeState,internal output,PC1 control,planning control and API,reliable transient_local depth=1,event,endpoint active in actual run_autoware,required,allowed,routing state remained UNKNOWN
/control/trajectory_follower/control_cmd,autoware_control_msgs/msg/Control,internal output,PC1 control,/control/vehicle_cmd_gate,reliable transient_local depth=1,33.3 Hz configured,0 samples in 8 seconds with publisher count 1,internal,allowed,no trajectory input
/control/command/control_cmd,autoware_control_msgs/msg/Control,output,none allowed,/control/vehicle_cmd_gate,reliable transient_local depth=1,10 Hz configured,0 samples in 8 seconds with publisher count 1,internal endpoint only,no actuator destination,SocketCAN sender and adapter absent; physical CAN TX0
/api/routing/route,autoware_adapi_v1_msgs/msg/Route,output,PC4 candidate,/adapi/node/routing,reliable transient_local depth=1,event or latched,TBD_RUNTIME,optional,allowed,bridge unverified
/api/vehicle/kinematics,autoware_adapi_v1_msgs/msg/VehicleKinematics,output,PC4 candidate,/adapi/node/vehicle,best_effort volatile depth=1,TBD_RUNTIME,TBD_RUNTIME,optional,allowed,bridge unverified
/vehicle/status/gear_status,autoware_vehicle_msgs/msg/GearReport,input then DDS output,physical can0 and PC3 consumers,/pc1_socket_can_receiver_can0,TBD_RUNTIME,vehicle bus dependent,100 Hz report 22,read-only,allowed,physical receiver only
/vehicle/status/steering_status,autoware_vehicle_msgs/msg/SteeringReport,input then DDS output,physical can0 and PC3 diagnostics,/pc1_socket_can_receiver_can0,TBD_RUNTIME,vehicle bus dependent,50 Hz value 0,read-only,allowed,PC3 consumed at about 50 Hz
/vehicle/status/velocity_status,autoware_vehicle_msgs/msg/VelocityReport,input then DDS output,physical can0 and PC3 diagnostics,/pc1_socket_can_receiver_can0,TBD_RUNTIME,vehicle bus dependent,50 Hz longitudinal 0,read-only,allowed,PC3 consumed and converter emitted twist at about 50 Hz
/vehicle/status/control_mode,autoware_vehicle_msgs/msg/ControlModeReport,input then DDS output,physical can0 and PC3 consumers,/pc1_socket_can_receiver_can0,TBD_RUNTIME,vehicle bus dependent,50 Hz mode 4,read-only,allowed,physical CAN TX0
